vendorid,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,ratecodeid,store_and_fwd_flag,pulocationid,dolocationid,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,"2018-12-31T22:43:59,000","2018-12-31T23:20:53,000",5,19.62,2,N,132,113,1,52,0,0.5,20,0,0.3,72.8
2,"2018-12-31T22:43:30,000","2018-12-31T23:07:09,000",6,7.93,1,N,158,42,1,26,0.5,0.5,1,0,0.3,28.3
2,"2018-12-31T22:42:50,000","2018-12-31T23:15:06,000",5,20.67,1,N,132,14,2,55,0.5,0.5,0,0,0.3,56.3
2,"2018-12-31T22:42:30,000","2018-12-31T23:02:14,000",5,2.82,1,N,137,50,2,14,0.5,0.5,0,0,0.3,15.3
2,"2018-12-31T22:42:24,000","2018-12-31T23:04:40,000",5,5.42,1,N,137,255,1,20,0.5,0.5,0,0,0.3,21.3
2,"2018-12-31T22:42:14,000","2018-12-31T22:57:35,000",5,2.79,1,N,246,79,2,12,0.5,0.5,0,0,0.3,13.3
2,"2018-12-31T22:42:08,000","2018-12-31T22:53:24,000",6,2.14,1,N,43,262,2,10,0.5,0.5,0,0,0.3,11.3
2,"2018-12-31T22:42:07,000","2018-12-31T23:10:59,000",5,16.70,1,N,138,139,2,45,0.5,0.5,0,0,0.3,46.3
2,"2018-12-31T22:39:49,000","2018-12-31T22:53:12,000",5,5.17,1,N,80,7,2,17,0.5,0.5,0,0,0.3,18.3
2,"2018-12-31T22:39:20,000","2018-12-31T22:50:56,000",5,3.94,2,N,145,90,1,52,0,0.5,10,5.76,0.3,68.56
2,"2018-12-31T22:38:30,000","2018-12-31T23:06:32,000",6,5.34,1,N,100,226,2,21,0.5,0.5,0,0,0.3,22.3
2,"2018-12-31T22:37:53,000","2018-12-31T22:56:28,000",5,5.10,1,N,263,126,2,18,0.5,0.5,0,0,0.3,19.3
